Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3752|2052712|370|2022-06-24|DBA7B3EF-73BD-4CBF-AB78-A5B9B9153C3C|FCA|USD|2652.60|2652.60|HND| |5019995122957|DISTRIBUCIONES UNIVERSALES SA DE CV|1ERA CALLE ENTRE 11-12 AVE COLONIA SAN FERNANDO, HONDURAS|SN|SN|00447|SAN PEDRO SULA|2022-08-27 09:51:01|
3995|2011184|240|2022-08-10|08442a25-8406-40a1-8611-5e6baa22e45b|DPU|USD|18584.64|18584.64|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-10 16:45:05|
3995|2011863|240|2022-08-23|e6319ba8-929f-4cbb-8bd9-7870d907f172|DPU|USD|483.39|483.39|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 17:47:04|
3995|2011863|240|2022-08-23|f4873505-4fed-4a30-a824-5003073fa43e|DPU|USD|8188.44|8188.44|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 17:47:04|
3995|2011208|240|2022-08-09|c6899fde-a8fd-4746-900d-a20dd113b0ec|DPU|USD|8095.82|8095.82|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-10 17:08:05|
3752|2052671|370|2022-08-19|80DE7EC2-11FE-4E79-8635-F53229CC23C5|DPU|USD|61707.32|61707.32|SLV| |06141202931043|PROALCA, S.A. DE C.V.|13A. CALLE ORIENTE|SN|124|SN|SAN SALVADOR|2022-08-25 16:00:03|
3995|2011505|240|2022-08-16|4bc4e082-05b5-4ef9-a48f-a08eba12234b|DPU|USD|790.30|790.30|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-17 18:32:05|
3995|2011008|240|2022-07-29|5f7987bf-b8d6-461d-9871-626023d13255|DPU|USD|983.28|983.28|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-05 10:52:01|
3995|2011506|240|2022-08-17|b033e946-296b-41f0-8b3f-2f458b3486a3|DPU|USD|27705.60|27705.60|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-17 18:02:01|
3995|2011231|240|2022-08-10|3d5f9499-7f8a-4001-af5e-310e7d9eccb3|DPU|USD|792.12|792.12|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-11 15:47:00|
3995|2011863|240|2022-08-23|89bd755d-b145-4508-83d4-f7e6d81f18c8|DPU|USD|2121.60|2121.60|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 17:47:04|
3995|2011344|240|2022-08-15|3ff43765-26cb-4956-8d0e-8662a12d2540|DPU|USD|6027.42|6027.42|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-16 15:10:02|
3995|2011031|240|2022-08-05|38a94bd4-a35a-4b82-baf0-ad73ad6e124d|DPU|USD|1481.76|1481.76|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-08 18:18:06|
3995|2011501|240|2022-08-16|cbbbff6d-1a91-48b6-8362-08e649ee13b8|DPU|USD|517.02|517.02|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-17 18:01:14|
3995|2010950|240|2022-08-02|09be372f-933e-46fe-9c41-369e27519fce|DPU|USD|13294.64|13294.64|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-03 18:24:10|
3995|2011545|240|2022-08-17|5ee882c9-b1e2-44ed-94c3-7f042ce68191|DPU|USD|16485.12|16485.12|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-18 16:10:05|
3995|2012196|240|2022-08-29|1a4666a3-4571-4f3c-9957-f6f77b585547|DPU|USD|2730.00|2730.00|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-30 17:16:03|
3995|2011019|240|2022-08-04|df482773-b08e-43dd-b152-325cf322575b|DPU|USD|2060.16|2060.16|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-05 13:37:22|
3995|2011864|240|2022-08-23|7946e4c0-ec1d-4454-97e5-45a9e7e09dc9|DPU|USD|5569.20|5569.20|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 17:48:08|
3752|2052645|370|2022-08-16|374B175C-E662-4BBD-901E-95AB4A47A7D9|DPU|USD|3884.93|3884.93|GTM| |26544814|KRASKA DISTRIBUIDORA, SOCIEDAD ANONIMA|14 AVENIDA ZONA 4 FINCA EL NARANJO|SN|19-50|1001|NO.OFIBODEGAS SAN SEBASTIAN BODEGA NO.18, MIXCO GUATEMALA|2022-08-24 10:02:01|
3995|2010894|240|2022-08-01|bba64a0c-4ff9-4948-b4a3-9410269e897d|DPU|USD|5799.80|5799.80|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-03 11:48:02|
3995|2011864|240|2022-08-23|f4b0efb8-c319-41b7-9f31-f67e6ea89544|DPU|USD|3077.86|3077.86|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 17:48:08|
3995|2011787|240|2022-08-22|4d290d7c-625d-4849-bc6c-ac3c7ffe27a9|DPU|USD|16485.12|16485.12|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-23 16:49:02|
3995|2010982|240|2022-08-01|9da7924d-43c4-42b5-9521-f75ee50d0fce|DPU|USD|23831.64|23831.64|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-04 13:47:10|
3995|2011710|240|2022-08-19|5e93cff1-91ef-4e50-82c8-ba2486474c55|DPU|USD|6983.28|6983.28|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-23 10:21:02|
3995|2011021|240|2022-08-04|f910477c-961f-4d78-8527-d9f6bb39ceac|DPU|USD|492.00|492.00|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-08 17:56:06|
3995|2011606|240|2022-08-18|a38736ea-db06-4357-a1bc-1af287d6653b|DPU|USD|16485.12|16485.12|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-19 17:17:05|
3995|2011552|240|2022-08-17|868aa3eb-b567-450a-8a62-016aef112bdd|DPU|USD|16485.12|16485.12|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-18 16:10:04|
3995|2010925|240|2022-08-01|fe35082b-9ec0-4925-88eb-47c126428671|DPU|USD|248.92|248.92|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-03 14:05:02|
3995|2011833|240|2022-08-22|173d9853-9f20-4b40-8bc3-18a3c833757b|DPU|USD|6320.52|6320.52|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 11:33:03|
3752|2052260|370|2022-07-19|F5936756-62F1-4356-B008-D7F9DE63F375|DPU|USD|50002.00|50002.00|GTM| |8150157-9|REPRESENTACIONES COMERCIALES INTERNACIONALES SOCIEDAD ANONIMA|3 CALLE FINAL 16-10 NO. COLONIA LINDA VISTA, VILLANUEVA|SN|SN|0|ZONA 4|2022-08-09 16:38:03|
3995|2011400|240|2022-08-15|40d98921-b2ad-4d87-bc27-72846d7c27be|DPU|USD|2355.85|2355.85|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-16 15:29:06|
3995|2011505|240|2022-08-16|c9709740-58d4-4348-b6b3-6ed3c89057ac|DPU|USD|1553.76|1553.76|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-17 18:32:05|
3995|2011019|240|2022-08-04|ed385735-677a-4c94-b8df-698af135c4fd|DPU|USD|18878.40|18878.40|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-05 13:37:22|
3995|2011400|240|2022-08-15|6c8be906-0065-489a-92b4-2e63ec86a0dc|DPU|USD|2376.00|2376.00|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-16 15:29:06|
3995|2011598|240|2022-08-18|3f7e3544-2029-4ac5-aaee-d0f666e1e463|DPU|USD|7829.64|7829.64|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-19 12:12:04|
3995|2011031|240|2022-08-05|76daa9d2-bcc0-4355-8735-0391b2a96036|DPU|USD|24150.00|24150.00|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-08 18:18:06|
3995|2011233|240||COVE2259NQX81|EXW| |0.00|0.00| | |13-2656671|COVIA HOLDINGS CORPORATION||||||2022-08-11 17:16:07|
3995|2011621|240|2022-08-16|00ed665a-c39a-4c6c-8ccc-b445200a40ad|DPU|USD|2632.00|2632.00|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-19 15:48:12|
3995|2011002|240|2022-07-27|5356b991-ccb2-46bf-9227-cef32c5ab83b|DPU|USD|17640.00|17640.00|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-05 10:45:07|
3995|2011344|240|2022-08-15|0d0b605c-2c95-46a6-ad19-003d19d21cfa|DPU|USD|4000.50|4000.50|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-16 15:10:02|
3995|2011400|240|2022-08-15|b6382080-33f9-4af2-a711-4b3d92e8b48e|DPU|USD|3635.28|3635.28|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-16 15:29:06|
3387|2038679|510|2022-07-29|COVE225AJKDQ1|FOB| |0.00|0.00| | |0517608534|MP INDUSTRIES, LTD.||||||2022-08-25 12:59:02|
3752|2052584|370|2022-06-10|3CEB4F64-8477-4DA5-99E7-F8241029D708|FCA|USD|7004.64|7004.64|HND| |5019995122957|DISTRIBUCIONES UNIVERSALES SA DE CV|1ERA CALLE ENTRE 11-12 AVE COLONIA SAN FERNANDO, HONDURAS|SN|SN|00447|SAN PEDRO SULA|2022-08-18 15:55:01|
3995|2011707|240|2022-08-19|3984511e-2c9d-4301-92af-c0f7844c37b4|DPU|USD|4528.16|4528.16|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-23 10:23:01|
3995|2011400|240|2022-08-15|452c0d53-dc72-4e13-9e8d-f467d962f982|DPU|USD|5369.76|5369.76|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-16 15:29:06|
3995|2011201|240|2022-08-10|c87bb617-11bc-4379-a469-76f313ddad08|DPU|USD|12862.02|12862.02|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-10 16:45:06|
3995|2011505|240|2022-08-16|4eeb4a3d-b66c-4828-bb03-aaa61591ea0e|DPU|USD|2279.42|2279.42|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-17 18:32:05|
3995|2011344|240|2022-08-15|bc077841-a635-495a-8600-8caec4671d9b|DPU|USD|1493.52|1493.52|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-16 15:10:02|
3752|2052261|370|2022-07-22|771434BD-9D41-42DF-92B1-37754C3265DF|DPU|USD|1353.00|1353.00|GTM| |26544814|KRASKA DISTRIBUIDORA, SOCIEDAD ANONIMA|14 AVENIDA ZONA 4 FINCA EL NARANJO|SN|19-50|1001|NO.OFIBODEGAS SAN SEBASTIAN BODEGA NO.18, MIXCO GUATEMALA|2022-08-03 14:06:01|
3995|2011271|240|2022-08-11|3e2d9c41-7cc5-4e3a-86f9-104f3cecdc72|DPU|USD|12787.20|12787.20|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-12 11:09:05|
3995|2011863|240|2022-08-23|e56fa7af-e434-4abe-b17f-4177298e4927|DPU|USD|542.34|542.34|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 17:47:04|
3995|2010925|240|2022-08-01|9da7924d-43c4-42b5-9521-f75ee50d0fce|DPU|USD|23831.64|23831.64|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-03 14:05:02|
3995|2011505|240|2022-08-16|eb149fc5-6b82-4d13-94d4-964e9a302de0|DPU|USD|9637.20|9637.20|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-17 18:32:05|
3752|2052645|370|2022-08-16|374B175C-E662-4BBD-901E-95AB4A47A7D9|DPU|USD|3884.93|3884.93|GTM| |26544814|KRASKA DISTRIBUIDORA, SOCIEDAD ANONIMA|14 AVENIDA ZONA 4 FINCA EL NARANJO|SN|19-50|1001|NO.OFIBODEGAS SAN SEBASTIAN BODEGA NO.18, MIXCO GUATEMALA|2022-08-24 10:02:01|
3995|2011230|240|2022-08-10|7d03e00b-b956-4559-ab1c-ab88fc6c2fe1|DPU|USD|5804.80|5804.80|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-11 16:06:08|
3995|2011710|240|2022-08-19|f63fd9c4-ade9-4c24-9ca4-afca06c8a7d4|DPU|USD|5569.20|5569.20|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-23 10:21:02|
3995|2011290|240|2022-08-12|ce9c51ce-9e1c-4217-9259-00b23677acec|DPU|USD|4878.08|4878.08|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-15 12:49:03|
3995|2011864|240|2022-08-23|cefbaeb7-278e-4f6b-a7cd-421ff4dbc829|DPU|USD|1511.16|1511.16|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 17:48:08|
3995|2011492|240|2022-08-16|0de2f8bf-5fb4-4883-a8a8-e0d1162af222|DPU|USD|16485.12|16485.12|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-17 18:01:04|
3995|2011710|240|2022-08-19|afe15265-1c43-45f4-b631-2f108517794a|DPU|USD|3418.10|3418.10|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-23 10:21:02|
3752|2052584|370|2022-06-10|8005E9BF-1E4B-4481-920A-491B3CDB5CED|FCA|USD|94.00|94.00|HND| |5019995122957|DISTRIBUCIONES UNIVERSALES SA DE CV|1ERA CALLE ENTRE 11-12 AVE COLONIA SAN FERNANDO, HONDURAS|SN|SN|00447|SAN PEDRO SULA|2022-08-18 15:55:01|
3995|2010789|240|2022-07-29|f3f0d311-3ba7-4e6c-a4f2-5645b3766d90|DPU|USD|8524.80|8524.80|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-01 17:27:05|
3752|2052584|370|2022-06-10|149176E7-994E-4A17-847E-83E0AF2380F3|DPU|USD|1467.81|1467.81|HND| |5019995122957|DISTRIBUCIONES UNIVERSALES SA DE CV|1ERA CALLE ENTRE 11-12 AVE COLONIA SAN FERNANDO, HONDURAS|SN|SN|00447|SAN PEDRO SULA|2022-08-18 15:55:01|
3995|2011290|240|2022-08-12|672994c5-ed61-467c-9fe8-bfd09d2af099|DPU|USD|3900.96|3900.96|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-15 12:49:03|
3752|2052261|370|2022-07-22|771434BD-9D41-42DF-92B1-37754C3265DF|DPU|USD|1353.00|1353.00|GTM| |26544814|KRASKA DISTRIBUIDORA, SOCIEDAD ANONIMA|14 AVENIDA ZONA 4 FINCA EL NARANJO|SN|19-50|1001|NO.OFIBODEGAS SAN SEBASTIAN BODEGA NO.18, MIXCO GUATEMALA|2022-08-03 14:06:01|
3752|2052671|370|2022-08-19|7D1904F3-722C-4A6D-AD8C-6896596192C2|DPU|USD|2940.24|2940.24|SLV| |06141202931043|PROALCA, S.A. DE C.V.|13A. CALLE ORIENTE|SN|124|SN|SAN SALVADOR|2022-08-25 16:00:03|
3752|2052712|370|2022-06-24|DBA7B3EF-73BD-4CBF-AB78-A5B9B9153C3C|FCA|USD|2652.60|2652.60|HND| |5019995122957|DISTRIBUCIONES UNIVERSALES SA DE CV|1ERA CALLE ENTRE 11-12 AVE COLONIA SAN FERNANDO, HONDURAS|SN|SN|00447|SAN PEDRO SULA|2022-08-27 09:51:01|
3995|2011114|240|2022-08-08|1ab1936a-3423-430c-9419-7cac3ad2a6b9|DPU|USD|9806.20|9806.20|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-09 19:01:02|
3995|2011712|240|2022-08-19|172b377c-1e7c-42b7-9bed-a853abaf27e7|DPU|USD|19180.80|19180.80|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-23 10:22:02|
3752|2052575|370|2022-08-11|C0F67046-E16E-4401-AF43-DCD72C76D5B8|DPU|USD|49054.20|49054.20|HND| |04131980002480|WILMER ARMANDO MOLINA MARTINEZ|LA ENTRADA COPAN, COLONIA MIRAFLORES, ATRAS DE PLAZA VIRGINIA COPAN LA ENTREDA|SN|SN|0|COPAN, HONDURAS|2022-08-17 14:13:00|
3995|2011230|240|2022-08-10|850d628e-1c08-435c-bbcf-0c577d916ad9|DPU|USD|9192.96|9192.96|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-11 16:06:08|
3995|2011225|240|2022-08-10|c1ea9945-e382-46da-b7ce-05cebbb8b408|DPU|USD|19133.44|19133.44|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-11 15:42:02|
3752|2052584|370|2022-06-10|9FD2DCBC-8413-4A7A-BFCC-B1C59E3C6794|DPU|USD|53464.06|53464.06|HND| |5019995122957|DISTRIBUCIONES UNIVERSALES SA DE CV|1ERA CALLE ENTRE 11-12 AVE COLONIA SAN FERNANDO, HONDURAS|SN|SN|00447|SAN PEDRO SULA|2022-08-18 15:55:01|
3995|2011833|240|2022-08-22|9d90af09-696d-4180-a13c-6ef1bdca360c|DPU|USD|21.72|21.72|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 11:33:03|
3995|2011833|240|2022-08-22|238012c2-92b2-4b4c-9a75-39f23c829029|DPU|USD|2733.80|2733.80|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 11:33:03|
3995|2011710|240|2022-08-19|deafdb3f-b418-4dd0-ab6c-0d948d5cb30a|DPU|USD|2217.96|2217.96|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-23 10:21:02|
3995|2011621|240|2022-08-16|3a7f2b0f-9f7b-4810-ae28-e975e11e2e06|DPU|USD|671.04|671.04|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-19 15:48:12|
3995|2012196|240|2022-08-29|e82db225-92cf-40d8-a0ac-26d94092cc88|DPU|USD|6965.76|6965.76|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-30 17:16:03|
3995|2011786|240|2022-08-22|d9f3ef32-7ce3-49f6-b9ee-12d050e061d0|DPU|USD|804.96|804.96|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-23 16:49:02|
3995|2011275|240|2022-08-11|d038bca0-8cd4-460f-b1e3-68ab9fd1d280|DPU|USD|9192.96|9192.96|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-12 11:34:03|
3995|2010879|240|2022-08-01|4ab26fe3-9016-4f39-af83-29d147cc4926|DPU|USD|2587.88|2587.88|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-02 16:38:08|
3995|2011968|240|2022-08-25|96d08510-cb4f-4f7a-b9c5-484f75b258eb|DPU|USD|1082.90|1082.90|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-26 10:44:01|
